,url,rooms,adress,price,city_region,floor,area,kitchen_studio,apartment_condition,is_apartment_has_furniture(full or no),is_previously_dormitory,security,furniture_detailed,facilities,bathroom,zhiloi_complex,house_year,parking,is_separated_toilet,toilet_count,window_side,balcony_count,loggia_count,people_that_match,description
0,https://krisha.kz/a/show/761058846?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=hot_block_filter&srchpos=1,2,Розыбакиева 388/Б2,420000,"Алматы, Бостандыкский р-н",15 из 16,65 м²,да,No Information,полностью,нет,No Information,No Information,No Information,No Information,ATRIA,No Information,No Information,совмещен,1,на улицу,No Information,1,No Information,"Сдаем квартиру в Жилом комплексе ATRIA, бизнес Класса, расположеном в одном из самых притягательных и динамичных мест Алматы, на пересечении пр. Аль-Фараби и ул. Розыбакиева. 
Стильный дом, вызывающий восхищенные взгляды! Красивое лобби с консьержем. Атмосфера приватности и уединения в нескольких шагах от насыщенной жизни! 
 
Прогулочные дорожки 
Детские и спортивные площадки 
Озелененная территория 
Собственный паркинг 
Камеры видеонаблюдения 24/7 
Яркие впечатления и незабываемые моменты для Вас и Вашей семьи! 
 
Рядом расположены: 
крупный торгово-развлекательный центр Мега и супермаркеты 
фитнес-залы 
набережная, прогулочные аллеи 
парк Первого президента 
образовательные центры и детские сады. 
 
Квартира предусмотрена для комфортного проживания. 
Полностью укомплектована всей необходимой мебелью и техникой, есть все - заезжай и живи! 
 
Рассматриваем на аренду Только на долгий срок. 
Депозит обязателен."
1,https://krisha.kz/a/show/692949126?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=hot_block_filter&srchpos=2,4,Макатаева 2,1200000,"Алматы, Медеуский р-н",15 из 17,140 м²,No Information,"свежий ремонт, новая мебель",полностью,нет,No Information,No Information,No Information,No Information,Chocolate,No Information,No Information,No Information,3,No Information,No Information,No Information,No Information,"Срочно сдаем в Аренду на длительный срок 4-х комнатную квартиру в жилом комплексе Chocolate от застройщика BI Group. Это жилой комплекс в экологически чистом и исторически развитом районе Алматы, с небольшим количеством квартир на этаже и несравненной панорамой из витражных окон: горы, река, старейший парк города. 
 
Все комнаты изолированные. Единственная уникальная планировка в ЖК, а также вид на 270 градусов, как будто весь город на ладони. 
2 спальни, зал, кухня столовая, 3 сан узла, хоз кладовая. В квартире дрогой ремонт, кухня оснащена всей необходимой техникой. В квартире есть все необходимое- заезжай и живи. 
 
Удаленность от оживленной транспортной магистрали 
Множество школ и детских садов поблизости 
Помимо любимого всеми ЦПКиО рядом с жилым комплексом имеются: 
Рынок «Зеленый базар» 
Парк им. 28 гвардейцев-панфиловцев 
Филармония им. Джамбула 
Театр оперы и балета им. Абая 
Алматинский зоопарк 
 
Просторная придомовая территория поделена на несколько зон, которые помогут интересно проводить досуг людям с разными предпочтениями. Детская площадка, пространство для активных игр и занятий спортом, зеленый уголок со скамейками. Благоустройство расположено в зоне набережной, где находится прогулочная зона, места для отдыха, безопасные спуски к воде. 
В каждом подъезде оборудованы колясочные для семей с маленькими детьми. Также предусмотрены выделенные места для хранения велосипедов. Бесшумные лифты. 
 
За безопасность отвечает продуманная система охраны и видеонаблюдения, которые осуществляются по всей территории. 
 
Есть место в подземном паркинге. 
Сдадим семье, не курящим и без животных."
2,https://krisha.kz/a/show/690465839?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=hot_block_filter&srchpos=3,2,Жумалиева 153 — Байзакова-Джамбула,300000,"Алматы, Алмалинский р-н",8 из 12,"50 м², жилая — 32 м²",да,"не новый, но аккуратный и чистый ремонт",полностью,нет,"домофон, видеонаблюдение","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, кондиционер, пылесос, посуда, сушилка, кладовая, лифт",душевая кабина,Отау,No Information,No Information,совмещен,1,во двор,1,No Information,"семейной паре, одному человеку, можно с детьми",No Information
3,https://krisha.kz/a/show/687939327?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=1,3,ул. Коктем 1 — Алатауская трасса район аэропортского кольца,200000,Алматы,1 из 3,"52 м², Площадь кухни — 12 м²",No Information,"свежий ремонт, новая мебель",полностью,нет,видеонаблюдение,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, пылесос, посуда, сушилка",душевая кабина,No Information,No Information,No Information,совмещен,1,"во двор, на улицу",нет,нет,"семейной паре, некурящим, одному человеку","Срочно сдам на длительный срок 3ком. кв, 200тыс + комуслуги, депозит 50тыс. До центра города 15мин по восточной объездной, рядом остановка, маршрут 54, 232, 249 проезжает остановку Саяхат, зелёный базар, рядом Новая Мечеть, супермаркет Магнум, экспресс, детсады, школы, трц APORT EAST, рынки, аэропорт. Спокойный тихий район, двор огорожен, есть место для парковки автомашины.

Дом ориентировочно находится возле Алатауская трасса район аэропортского кольца"
4,https://krisha.kz/a/show/1000805404?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=2,2,Аль-Фараби,550000,"Алматы, Бостандыкский р-н",7 из 19,60 м²,да,"свежий ремонт, новая мебель",полностью,нет,"охрана, кодовый замок, видеонаблюдение, видеодомофон, консьерж","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, лифт",душевая кабина,Metropole,No Information,No Information,"разделен, совмещен",1,во двор,нет,No Information,"семейной паре, некурящим, одному человеку, можно с детьми","Современная, светлая квартира 80 кв. м с дизайнерским проектом, расположенная в самом сердце Алматинского вайба с видом на горы и проспект Аль-Фараби. В квартире есть все удобства для проведения времени в будни и выходные. Квартира имеет достаточно просторные комнаты, как гостиная со смарт TV и рабочая зона с удобным столом и креслом. Пространство на кухне дает ощущение полноты и комфорта, ведь тут есть вся необходимая посуда и бытовая техника. В санузле вся сантехника от немецкого бренда «Grohe». В спальной комнате супер удобная, шикарная кровать, с ортопедическим матрасом. 
В целом квартира создана с заботой о Вас и вашем пребывании. В этой квартире вы почувствуете уют и тепло, а вид с окон - будет постоянно вас радовать. 
 
звоните отвечу в любое время"
5,https://krisha.kz/a/show/1000804486?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=3,3,Аль-Фараби — Сейфуллина,800000,"Алматы, Бостандыкский р-н",10 из 21,90 м²,да,"свежий ремонт, новая мебель",полностью,нет,"охрана, кодовый замок, видеонаблюдение, видеодомофон, консьерж","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, кладовая, лифт",душевая кабина,AL’FARABI 27,No Information,No Information,совмещен,1,"во двор, на улицу",No Information,No Information,"семейной паре, некурящим, одному человеку, можно с детьми","Новая роскошная квартира с дизайнерским ремонтом в самом деловом центре г. Алматы. Полностью меблирована с абсолютно новой мебелью и техникой. Никогда не сдавалась. Квартира находится в тихом дворе без машин, вдали от шума дорог, с зоной для уличных тренировок и детской площадкой. Доступ по Face/Touch ID, круглосуточное видеонаблюдение и охрана. Квартира находится в шаговой доступности от главных достопримечательностей Алматы (Парк Первого Президента, Театр оперы и балета, Центральный государственный музей, Dostyk Plaza, Esentai Mall). 
 
звоните в любое время

Дом ориентировочно находится возле Сейфуллина"
6,https://krisha.kz/a/show/1000803471?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=4,2,Аль-Фараби — Сейфуллина,600000,"Алматы, Бостандыкский р-н",8 из 20,62 м²,да,"свежий ремонт, новая мебель",No Information,нет,"охрана, кодовый замок, видеонаблюдение, видеодомофон, консьерж","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, кладовая, лифт",душевая кабина,AL’FARABI 27,No Information,No Information,совмещен,1,"во двор, на улицу",1,No Information,"семейной паре, некурящим, одному человеку, можно с детьми","Сдаётся 2-комнатная квартира с современным ремонтом и удобствами 
 
Описание: 
Квартира идеально подойдёт для комфортной жизни. Все продумано до мелочей, включая шумоизоляцию и высококачественную технику. 
 
Основные характеристики: 
• Шумоизоляция: двухслойный профессиональный материал для стен и потолка. 
• Санузел: унитаз AM/PM с функцией биде, подогревом и электронным управлением. Техника и мебель: 
• Бытовая техника SMEG: стиральная машина с сушкой, варочная панель, духовка, вытяжка, холодильник с морозильником, посудомоечная машина, микроволновка. 
• Кухонный гарнитур с искусственным камнем Grandex (фартук и столешница). 
• Телевизор 55 дюймов с голосовым управлением “Яндекс Алиса”. 
• Электронная сушка для белья с подсветкой и поДДУвом. 
• Сантехника: раковина GROHE, встроенный очиститель воды. 
 
Комфорт: 
• Полы с подогревом (прихожая, кухня, ванная, балкон). 
• Электронные шторы с пультом управления. 
• Кондиционер. 
 
Безопасность и связь: 
• Видеодомофон. 
• Интернет (подключение по желанию). 
 
Идеальное жильё для комфортной жизни! 
 
звоните отвечу в любое время

Дом ориентировочно находится возле Сейфуллина"
7,https://krisha.kz/a/show/696604015?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=5,1,Северное кольцо 92/2,190000,"Алматы, Алатауский р-н",1 из 9,37 м²,No Information,"свежий ремонт, новая мебель",полностью,нет,решетки на окнах,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур","стиральная машина, холодильник",ванна,Ozhet Plus,No Information,No Information,совмещен,1,во двор,нет,нет,"семейной паре, некурящим, одному человеку","Квартира новая, с мебелью, холодильник, стиральная машина. Семейной паре, без детей, одному парню или одной девушке. Депозит 50000 тг. Минимальный срок аренды 3 месяца."
8,https://krisha.kz/a/show/682713823?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=6,1,мкр Жас Канат,280000,"Алматы, Турксибский р-н",6,40 м²,No Information,"свежий ремонт, новая мебель",полностью,нет,"домофон, видеонаблюдение","кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, пылесос, сушилка, лифт",душевая кабина,Suly’ Tan,No Information,No Information,совмещен,1,во двор,1,1,"некурящим, одному человеку",No Information
9,https://krisha.kz/a/show/671595619?srchid=019666fc-c084-7cf9-80d9-9b1eb00535fc&srchtype=filter&srchpos=7,1,мкр Шугыла,160000,"Алматы, Наурызбайский р-н",9 из 9,"35 м², жилая — 18 м², Площадь кухни — 10 м²",No Information,свежий ремонт,No Information,нет,"домофон, видеонаблюдение","обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, стиральная машина, холодильник, микроволновая печь, пылесос, лифт",ванна,Nurly Dala,2020,No Information,совмещен,1,во двор,1,No Information,"семейной паре, некурящим, одному человеку","1 комн кв-ра в новом ЖК ""Нурлы дала"", напротив молл Апорта, по Райымбека, очень теплая, уютная кв-ра, полностью с мебелью и бытовой техникой. Депозитная сумма 30000 тенге. 
 услуги риэлтора по факту заселения.

Дом ориентировочно находится возле Жуалы"
