,url,rooms,adress,price,city_region,description,floor,area,apartment_condition,house_year,bathroom,furniture_detailed,similarity_score
4,https://krisha.kz//a/show/761862986?srchid=01969d25-2ff1-7b98-b425-23be90d234f2&srchtype=filter&srchpos=2,2,Бабаева 35 — Тимирязева Розыбакиева,350000,"Алматы, Бостандыкский р-н","О квартире
            


Мебель
кровать, кухонный гарнитур, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда


Санузел
разделен


Количество санузлов
1


Ванная комната
ванна


Окна
во двор, на улицу


Лоджия
2


Кому подойдет квартира
семейной паре, некурящим, можно с детьми


Описание

Сдам в аренду двух комнатную квартиру на долгий срок порядочной семейной паре не курящим без вредных привычек. В квартире имеется вся техника и мебель! Депозит 100 000 тенге. Оплата по месячно 350000 плюс коммунальные услуги. Удобное расположение рядом школа, садик, поликлиника, Мега, магнум.

Дом ориентировочно находится возле Тимирязева Розыбакиева

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5264712680742832
86,https://krisha.kz//a/show/682456633?srchid=01969d27-2c5c-75f4-80c1-647914a6da79&srchtype=filter&srchpos=84,2,Сейфуллина — Гоголя,400000,"Алматы, Алмалинский р-н","О квартире
            


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, микроволновая печь


Санузел
совмещен


Количество санузлов
1


Ванная комната
ванна


Окна
на улицу


Балкон
1


Кому подойдет квартира
семейной паре, некурящим, одному человеку, можно с детьми


Описание

Сдам 2-х комнатную квартиру на долгий срок. Возвратный депозит 100 000 тг. Оплату депозита можно разделить на 2 месяца по 50 тыс. Есть все для комфортного проживания - фильтр для воды, робот пылесос, воздухоувлажнитель и воздухоочиститель. После освежающего ремонта. Все чисто и аккуратно. По запросу могу предоставить новое пастельное белье и красивую посуду.

Дом ориентировочно находится возле Гоголя

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5245219415585046
66,https://krisha.kz//a/show/1000651310?srchid=01969d26-b470-73b1-83dd-fa17cc434dcb&srchtype=filter&srchpos=64,2,Гагарина 310,600000,"Алматы, Бостандыкский р-н","О квартире
            


Бывшее общежитие
нет


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, кладовая, лифт


Санузел
разделен


Ванная комната
ванна


Окна
во двор, на улицу


Балкон
нет


Кому подойдет квартира
семейной паре, некурящим, одному человеку, можно с детьми


Описание

Шикарный жилой комплекс, сдаю на месяц или два мес мебель на фото поменяю на новый после заезда и оплаты сразу, комнаты изолированные, кухня отдельная, саю не на долго, есть паркинг 25000

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5237370816967304
28,https://krisha.kz//a/show/1000481076?srchid=01969d25-b29f-7841-b6e6-8e7260400f6a&srchtype=filter&srchpos=26,2,Усть-каменогорская — Памирская,250000,"Алматы, Алмалинский р-н","О квартире
            


Бывшее общежитие
нет


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур


Удобства
стиральная машина, холодильник, посудомоечная машина, кондиционер, пылесос


Санузел
совмещен


Количество санузлов
1


Ванная комната
душевая кабина


Окна
во двор


Балкон
нет


Лоджия
нет


Кому подойдет квартира
семейной паре, некурящим, одному человеку


Описание

Сдаётся 1-комнатная квартира в частном доме (евродвушка) на Раймбека -Розыбакиева 
 
Сдаётся уютная и светлая квартира: кухня-студия + 1 отдельная спальня. Дом новый на 4 апартамента, квартира после ремонта — ещё никто не жил. 
Полностью укомплектована всей необходимой мебелью и бытовой техникой — заезжай и живи! 
 
Преимущества: 
 • Удобная локация: рядом продуктовые, вещевые и строительные рынки 
 • В шаговой доступности остановка, школа, оптовка 
 • Спокойный и благоустроенный район 
со всей инфраструктурой. 
 
Цена: 250 000 тенге, включая коммунальные. 
Депозит: 100.000 тенге 
 
По всем вопросам звоните/пишите в личные сообщения. ()

Дом ориентировочно находится возле Памирская

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5207274513225172
95,https://krisha.kz//a/show/687425273?srchid=01969d27-2c5c-75f4-80c1-647914a6da79&srchtype=filter&srchpos=93,2,мкр Шугыла,250000,"Алматы, Наурызбайский р-н","О квартире
            


Бывшее общежитие
нет


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, пылесос, посуда, сушилка


Санузел
разделен


Количество санузлов
1


Ванная комната
душевая кабина


Окна
на улицу


Кому подойдет квартира
семейной паре, некурящим, одному человеку, можно с детьми


Описание

Квартира в новом ЖК, расположена на первом этаже, развитая инфраструктура, через стенку аптека, через другую магазин, за окном салон красоты, через дорогу напротив Апорт Молл и Алтын Орда. Удобная транспортная доступность. Площадь 60 м2, полностью меблирована, панорамные окна, свежий ремонт, очень уютная. Огороженная детская площадка. Возвращаемый депозит 50 000 тенге.

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5199326831472516
38,https://krisha.kz//a/show/687515158?srchid=01969d25-b29f-7841-b6e6-8e7260400f6a&srchtype=filter&srchpos=36,2,мкр Горный Гигант,550000,"Алматы, Медеуский р-н","О квартире
            


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, лифт


Санузел
совмещен


Количество санузлов
1


Ванная комната
душевая кабина


Окна
во двор, на улицу


Балкон
1


Кому подойдет квартира
семейной паре, одному человеку, можно с детьми


Описание

Мкр Горный Гигант. Сдается 2х комнатная квартира с террасой. Первые блоки стоят дороже, оснащены всеми коммуникациями. Светлая квартира, высокие потолки. Полностью меблирована, есть вся бытовая техника (кондиционер, холодильник, телевизор, стир. машина, микроволновка, духовка, вытяжка, посудомойка). Терраса крытая, есть столик со стульями. Сдаётся на длительный срок без животных. ЖК бизнес класса, охраняется, на территории есть парковочные места бесплатные, также в аренду можно взять место в подземном паркинге. У жк есть свой выход на набережку Есентай. 
цена 550000 тг + ком. услуги + обязательный депозит.

Дом ориентировочно находится возле Горный Гигант

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5187699666632456
82,https://krisha.kz//a/show/761731749?srchid=01969d26-b470-73b1-83dd-fa17cc434dcb&srchtype=filter&srchpos=80,2,Аскарова 55/1 к1,1500000,Алматы,"О квартире
            


Бывшее общежитие
нет


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, кладовая, лифт


Санузел
совмещен


Количество санузлов
2


Ванная комната
душевая кабина, ванна


Окна
во двор, на улицу


Лоджия
1


Кому подойдет квартира
семейной паре, одному человеку


Описание

🌟Сдается квартира с дизайнерским ремонтом премиум класса в ЖК HYDE PARK 
 
🅿️В стоимость входит парковочное место в подземном паркинге! 
 
🛋️Вся мебель в квартире итальянская 
🛁Дорогая элитная сантехника от Grohe и других производителей 
🖲️В сан зонах стоят датчики протечки 
♨️Теплые полы водяные и отопление от котла BOSCH 
🚰Фильтр питьевой воды KYK корейский с определением щелочи брали за 1300$ 
🖥️Две большие плазмы (одна в спальне и одна в зале) 🪟 Немецкие окна (на балконе створки распашные) 
🪵Дорогой качественный паркет в спальне, зале и гардеробной (хочу подметить его клеили на очень качественный клей привезенный из Европы) 
🌐Система умного дома 
🔊Встроенные колонки по всей квартире (управляться с телефона) 
🛜Высокоскоростной интернет Beeline (оптика) 
💦Увлажнитель воздуха тоже остается NIKKEN 
 
📱звоните все покажу и расскажу и отвечу на все интересующие вас вопросы 
 
💎Не упустите свой шанс снять эту прекрасную квартиру

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5174298340478067
87,https://krisha.kz//a/show/686576742?srchid=01969d27-2c5c-75f4-80c1-647914a6da79&srchtype=filter&srchpos=85,2,мкр Тастак-3 221,280000,"Алматы, Алмалинский р-н","О квартире
            


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван


Удобства
телевизор, стиральная машина, холодильник, микроволновая печь, пылесос, посуда, лифт


Санузел
разделен


Количество санузлов
1


Ванная комната
ванна


Окна
во двор, на улицу


Балкон
нет


Лоджия
нет


Кому подойдет квартира
семейной паре, некурящим


Описание

Двухкомнатная квартира в 9 этажном доме, не угловая. Меблирована. 
Рядом школы и детские сады, магазины и торговые центры, поликлиника и пр. Также рядом оптовый рынок и базар «Тастак». Инфраструктура очень развита. 
Срок аренды: Минимум на год по договору и под опись имущества. 
Прошу не беспокоить по разным вопросам, только реальным клиентам. 
Депозит 150 000 тенге (можно на 2 месяца разделить). 
Ком. услуги отдельно, НЕ ВХОДЯТ В СТОИМОСТЬ АРЕНДЫ. 
Осмотр в будние дни после 18-00 по предварительному звонку.

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5168594490585695
8,https://krisha.kz//a/show/1001179185?srchid=01969d25-2ff1-7b98-b425-23be90d234f2&srchtype=filter&srchpos=6,2,Аль-Фараби — Панфилова-Ганди,800000,"Алматы, Бостандыкский р-н","О квартире
            


Бывшее общежитие
нет


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, посуда, сушилка, лифт


Санузел
совмещен


Количество санузлов
1


Ванная комната
душевая кабина


Окна
на улицу


Балкон
нет


Лоджия
нет


Кому подойдет квартира
семейной паре, некурящим, одному человеку


Описание

Сдаётся стильная двухкомнатная квартира в престижном районе Алматы. Апартаменты находятся на 14 этаже современного Жилого комплекса «ORION II». Общая площадь квартиры составляет 73 кв. м, что идеально подойдёт для комфортного проживания. Высота потолков 3 метра. Апартаменты оформлены в современном дизайнерском стиле. В них две уютные комнаты и кухня, оборудованные всей необходимой мебелью. Каждая комната оборудована кондиционерами. На окнах установлены противомоскитные сетки. Кухня оснащена современной техникой: посудомоечной машиной, холодильником, телевизором и фильтром питьевой воды. Санузел совмещенный, в нем установлена душевая кабина, стиральная машина, что делает пребывание в квартире особенно комфортным. 
 
Для удобства жителей в доме предусмотрены 3 пассажирских и 1 грузовой лифты, поэтому можно легко перемещаться даже с крупногабаритными грузами. В «Orion II» вы окружены вниманием 24/7. Собственная консьерж-служба, система видеонаблюдения и видеодомофония, контроль доступа в ЖК, персональный доступ в закрытый двор-парк, лобби. 
 
Квартира идеально подойдёт для одного человека или пары, ценящих стиль и комфорт.

Дом ориентировочно находится возле Панфилова-Ганди

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.5164361558693661
50,https://krisha.kz//a/show/670039976?srchid=01969d26-3799-7441-b4a7-e8e44021d330&srchtype=filter&srchpos=48,2,1-я улица 91 — Напротив АЛМАТЫ АРЕНА,220000,Алматы,"О квартире
            


Санузел
раздельный


Балкон
лоджия


Дверь
металлическая


Интернет
ADSL


Квартира меблирована
полностью


Пол
ламинат


Высота потолков
2.7 м


Безопасность
охрана, домофон, кодовый замок, видеонаблюдение


Бывшее общежитие
нет


Мебель
кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван


Удобства
интернет, телевизор, стиральная машина, холодильник, пылесос, сушилка, лифт


Санузел
разделен


Количество санузлов
2


Ванная комната
ванна


Окна
во двор


Балкон
1


Кому подойдет квартира
некурящим, можно с детьми


Описание

Сдам двух комнатную квартиру в ЖК АЛМАЛЫ порядочным и на длительный срок. квартира находиться напротив АЛМАТЫ АРЕНА. Примерное пересичение улиц Момышулы-Рыскулова. 
Развитая инфраструктура, всё в шаговой доступности, садик, школа, магазины, транспортная доступность. 
 
Депозит 50000 тг 
Я сам хозяин квартиры.

Дом ориентировочно находится возле Напротив АЛМАТЫ АРЕНА

                        Перевести
                    



                            Перевод может быть неточным
                        


                            Показать оригинал",,,,,,,0.513560517440031
